Candyflake Icelight
Chestnutwhisker Marshmallowtoes
Dashchime Evertoe
Embercane Iceplum
Icicleheart Icehine
Icicleleaf Garlandgreen
Jinglebell Giftwrap
Nutmegtoe Janglebread
Peppermintbow Evergreenspring
Peppermintdust Snowballsnow
Peppermintsnow Nutmegdustle
Puddingsnow Frostycrystal
Silverdust Janglebell
Snowbow Dashflake
Snowflakecrystal Evergreenberry
Stardrop Icegreen
Tinkerflake Garlandbell
Tinkertoes Hollybread
Tinselbite Zestycheer
Tinselspice Sugarcane
Tinseltopbite Jollydustle
Tinseltopfrost Starspring
Tinseltopplum Starsparkle
Toyberry Marshmallowwrapper
Toybow Candychime
Toybow Jollygreen
Velvetsparkle Tinkerwhisker
Warmcookie Marshmallowheart
Warmsparkle Twinklesleigh
Warmtoes Snowjangle
Whisperbells Iciclecane
Whisperdust Frostdrop
Whisperflake Peppercane
Willowberry Bubblesplum
Willowcookie Cinnamonsnow
Willowflake Toyhine
Willowwhisker Juniperplum
Winterbells Everlight
Wintercheer Emberbite
Winterdustle Hollywhisker
Zestychime Candylight
Zestyflake Mistlejangle
